fragment_id,code_element
fragment_0,com.fasterxml.jackson.dataformat.xml$XmlMapper:49
fragment_1,com.fasterxml.jackson.dataformat.xml$JacksonXmlModule:50
fragment_2,com.fasterxml.jackson.dataformat.xml$PackageVersion:12
fragment_3,com.fasterxml.jackson.dataformat.xml.util$DefaultXmlPrettyPrinter:106
fragment_4,com.fasterxml.jackson.dataformat.xml.util$DefaultXmlPrettyPrinter$FixedSpaceIndenter:457
fragment_5,com.fasterxml.jackson.dataformat.xml.util$DefaultXmlPrettyPrinter$Lf2SpacesIndenter:500
fragment_6,com.fasterxml.jackson.dataformat.xml$XmlFactory:84
fragment_7,com.fasterxml.jackson.dataformat.xml.deser$FromXmlParser$Feature:57
fragment_8,com.fasterxml.jackson.dataformat.xml.ser$ToXmlGenerator$Feature:80
fragment_9,com.fasterxml.jackson.dataformat.xml.ser$XmlSerializerProvider:41
fragment_10,com.fasterxml.jackson.dataformat.xml.util$XmlRootNameLookup:30
fragment_11,com.fasterxml.jackson.dataformat.xml.ser$XmlBeanSerializerModifier:24
fragment_12,com.fasterxml.jackson.dataformat.xml.deser$XmlBeanDeserializerModifier:27
fragment_13,com.fasterxml.jackson.dataformat.xml$JacksonXmlAnnotationIntrospector:31
fragment_14,com.fasterxml.jackson.dataformat.xml.ser$ToXmlGenerator:175
fragment_15,com.fasterxml.jackson.dataformat.xml.util$StaxUtil:7
fragment_16,com.fasterxml.jackson.dataformat.xml.util$TypeUtil:8
fragment_17,com.fasterxml.jackson.dataformat.xml.util$AnnotationUtil:8
fragment_18,com.fasterxml.jackson.dataformat.xml.ser$XmlBeanSerializerBase:63
fragment_19,com.fasterxml.jackson.dataformat.xml.util$XmlInfo:15
fragment_20,com.fasterxml.jackson.dataformat.xml.ser$XmlBeanSerializer:31
fragment_21,com.fasterxml.jackson.dataformat.xml.deser$FromXmlParser:166
fragment_22,com.fasterxml.jackson.dataformat.xml.deser$XmlReadContext:58
fragment_23,com.fasterxml.jackson.dataformat.xml.deser$XmlTokenStream:101
fragment_24,com.fasterxml.jackson.dataformat.xml.deser$FromXmlParser$1:452
fragment_25,com.fasterxml.jackson.dataformat.xml.deser$WrapperHandlingDeserializer:38
fragment_26,com.fasterxml.jackson.dataformat.xml.ser$XmlBeanPropertyWriter:43
fragment_27,com.fasterxml.jackson.dataformat.xml$XmlTypeResolverBuilder:21
fragment_28,com.fasterxml.jackson.dataformat.xml$XmlTypeResolverBuilder$1:53
fragment_29,com.fasterxml.jackson.dataformat.xml.deser$XmlTextDeserializer:46
fragment_30,com.fasterxml.jackson.dataformat.xml.deser$ElementWrapper:19
fragment_31,com.fasterxml.jackson.dataformat.xml.ser$UnwrappingXmlBeanSerializer:42
fragment_32,com.fasterxml.jackson.dataformat.xml$XmlTypeResolverBuilder$XmlClassNameIdResolver:120
fragment_33,com.fasterxml.jackson.dataformat.xml.jaxb$XmlJaxbAnnotationIntrospector:30
fragment_34,com.fasterxml.jackson.dataformat.xml$XmlAnnotationIntrospector$Pair:71
