rank,test_id,additional_coverage,total_coverage,tie_group_size
1,T0086,24,24,1
2,T0132,2,21,1
3,T0072,1,20,3
4,T0001,0,20,157
5,T0002,0,20,156
6,T0003,0,16,155
7,T0004,0,15,154
8,T0005,0,15,153
9,T0006,0,16,152
10,T0007,0,20,151
11,T0008,0,15,150
12,T0009,0,16,149
13,T0010,0,12,148
14,T0011,0,15,147
15,T0012,0,15,146
16,T0013,0,15,145
17,T0014,0,15,144
18,T0015,0,15,143
19,T0016,0,16,142
20,T0017,0,20,141
21,T0018,0,3,140
22,T0019,0,15,139
23,T0020,0,15,138
24,T0021,0,15,137
25,T0022,0,15,136
26,T0023,0,15,135
27,T0024,0,15,134
28,T0025,0,16,133
29,T0026,0,15,132
30,T0027,0,15,131
31,T0028,0,11,130
32,T0029,0,11,129
33,T0030,0,11,128
34,T0031,0,16,127
35,T0032,0,16,126
36,T0033,0,17,125
37,T0034,0,20,124
38,T0035,0,15,123
39,T0036,0,16,122
40,T0037,0,17,121
41,T0038,0,20,120
42,T0039,0,20,119
43,T0040,0,17,118
44,T0041,0,21,117
45,T0042,0,20,116
46,T0043,0,21,115
47,T0044,0,16,114
48,T0045,0,16,113
49,T0046,0,21,112
50,T0047,0,16,111
51,T0048,0,20,110
52,T0049,0,17,109
53,T0050,0,16,108
54,T0051,0,16,107
55,T0052,0,21,106
56,T0053,0,21,105
57,T0054,0,16,104
58,T0055,0,19,103
59,T0056,0,19,102
60,T0057,0,15,101
61,T0058,0,16,100
62,T0059,0,16,99
63,T0060,0,16,98
64,T0061,0,16,97
65,T0062,0,16,96
66,T0063,0,16,95
67,T0064,0,16,94
68,T0065,0,21,93
69,T0066,0,17,92
70,T0067,0,21,91
71,T0068,0,15,90
72,T0069,0,16,89
73,T0070,0,16,88
74,T0071,0,20,87
75,T0073,0,20,86
76,T0074,0,20,85
77,T0075,0,22,84
78,T0076,0,11,83
79,T0077,0,10,82
80,T0078,0,11,81
81,T0079,0,15,80
82,T0080,0,10,79
83,T0081,0,10,78
84,T0082,0,11,77
85,T0083,0,10,76
86,T0084,0,16,75
87,T0085,0,23,74
88,T0087,0,23,73
89,T0088,0,15,72
90,T0089,0,15,71
91,T0090,0,15,70
92,T0091,0,14,69
93,T0092,0,16,68
94,T0093,0,16,67
95,T0094,0,16,66
96,T0095,0,16,65
97,T0096,0,16,64
98,T0097,0,16,63
99,T0098,0,16,62
100,T0099,0,16,61
101,T0100,0,16,60
102,T0101,0,16,59
103,T0102,0,20,58
104,T0103,0,15,57
105,T0104,0,16,56
106,T0105,0,15,55
107,T0106,0,21,54
108,T0107,0,15,53
109,T0108,0,20,52
110,T0109,0,11,51
111,T0110,0,18,50
112,T0111,0,23,49
113,T0112,0,16,48
114,T0113,0,16,47
115,T0114,0,16,46
116,T0115,0,16,45
117,T0116,0,16,44
118,T0117,0,16,43
119,T0118,0,20,42
120,T0119,0,16,41
121,T0120,0,16,40
122,T0121,0,23,39
123,T0122,0,23,38
124,T0123,0,16,37
125,T0124,0,16,36
126,T0125,0,18,35
127,T0126,0,18,34
128,T0127,0,12,33
129,T0128,0,16,32
130,T0129,0,16,31
131,T0130,0,16,30
132,T0131,0,16,29
133,T0133,0,17,28
134,T0134,0,15,27
135,T0135,0,17,26
136,T0136,0,15,25
137,T0137,0,15,24
138,T0138,0,6,23
139,T0139,0,6,22
140,T0140,0,6,21
141,T0141,0,6,20
142,T0142,0,16,19
143,T0143,0,6,18
144,T0144,0,21,17
145,T0145,0,2,16
146,T0146,0,3,15
147,T0147,0,3,14
148,T0148,0,3,13
149,T0149,0,3,12
150,T0150,0,15,11
151,T0151,0,15,10
152,T0152,0,15,9
153,T0153,0,15,8
154,T0154,0,15,7
155,T0155,0,16,6
156,T0156,0,15,5
157,T0157,0,1,4
158,T0158,0,1,3
159,T0159,0,1,2
160,T0160,0,1,1
