rank,test_id,total_coverage
1,T0086,24
2,T0085,23
3,T0087,23
4,T0111,23
5,T0121,23
6,T0122,23
7,T0075,22
8,T0041,21
9,T0043,21
10,T0046,21
11,T0052,21
12,T0053,21
13,T0065,21
14,T0067,21
15,T0106,21
16,T0132,21
17,T0144,21
18,T0001,20
19,T0002,20
20,T0007,20
21,T0017,20
22,T0034,20
23,T0038,20
24,T0039,20
25,T0042,20
26,T0048,20
27,T0071,20
28,T0072,20
29,T0073,20
30,T0074,20
31,T0102,20
32,T0108,20
33,T0118,20
34,T0055,19
35,T0056,19
36,T0110,18
37,T0125,18
38,T0126,18
39,T0033,17
40,T0037,17
41,T0040,17
42,T0049,17
43,T0066,17
44,T0133,17
45,T0135,17
46,T0003,16
47,T0006,16
48,T0009,16
49,T0016,16
50,T0025,16
51,T0031,16
52,T0032,16
53,T0036,16
54,T0044,16
55,T0045,16
56,T0047,16
57,T0050,16
58,T0051,16
59,T0054,16
60,T0058,16
61,T0059,16
62,T0060,16
63,T0061,16
64,T0062,16
65,T0063,16
66,T0064,16
67,T0069,16
68,T0070,16
69,T0084,16
70,T0092,16
71,T0093,16
72,T0094,16
73,T0095,16
74,T0096,16
75,T0097,16
76,T0098,16
77,T0099,16
78,T0100,16
79,T0101,16
80,T0104,16
81,T0112,16
82,T0113,16
83,T0114,16
84,T0115,16
85,T0116,16
86,T0117,16
87,T0119,16
88,T0120,16
89,T0123,16
90,T0124,16
91,T0128,16
92,T0129,16
93,T0130,16
94,T0131,16
95,T0142,16
96,T0155,16
97,T0004,15
98,T0005,15
99,T0008,15
100,T0011,15
101,T0012,15
102,T0013,15
103,T0014,15
104,T0015,15
105,T0019,15
106,T0020,15
107,T0021,15
108,T0022,15
109,T0023,15
110,T0024,15
111,T0026,15
112,T0027,15
113,T0035,15
114,T0057,15
115,T0068,15
116,T0079,15
117,T0088,15
118,T0089,15
119,T0090,15
120,T0103,15
121,T0105,15
122,T0107,15
123,T0134,15
124,T0136,15
125,T0137,15
126,T0150,15
127,T0151,15
128,T0152,15
129,T0153,15
130,T0154,15
131,T0156,15
132,T0091,14
133,T0010,12
134,T0127,12
135,T0028,11
136,T0029,11
137,T0030,11
138,T0076,11
139,T0078,11
140,T0082,11
141,T0109,11
142,T0077,10
143,T0080,10
144,T0081,10
145,T0083,10
146,T0138,6
147,T0139,6
148,T0140,6
149,T0141,6
150,T0143,6
151,T0018,3
152,T0146,3
153,T0147,3
154,T0148,3
155,T0149,3
156,T0145,2
157,T0157,1
158,T0158,1
159,T0159,1
160,T0160,1
